nameRec,UnifiedPlusInd
Cardamine pratensis x flexuosa = C. x fringsii,Cardamine pratensis
Cardamine trifolia,Cardamine pratensis
Carduus crispus,Carduus crispus
Carduus macrocephalus,Carduus macrocephalus
Carduus nutans,Carduus nutans
Carduus tenuiflorus,Carduus tenuiflorus
Carex,Carex
Carex acuta,Carex acuta
Carex acutiformis,Carex acutiformis
Carex aquatilis,Carex aquatilis
Carex arenaria,Carex arenaria
Carex bigelowii,Carex bigelowii
Carex binervis,Carex binervis
Carex canescens,Carex canescens
Carex caryophyllea,Carex caryophyllea
Carex chordorrhiza,Carex chordorrhiza
Carex demissa x C. hostiana,Carex demissa x C. hostiana
Carex diandra,Carex diandra
Carex dioica,Carex dioica
Carex distans,Carex distans
Carex disticha,Carex disticha
Carex divulsa subsp. divulsa,Carex divulsa subsp. divulsa
Carex echinata,Carex echinata
Carex elata,Carex elata
Carex elongata,Carex elongata
Carex extensa,Carex extensa
Carex flacca,Carex flacca
Carex flava agg.,Carex flava agg.
Carex hirta,Carex hirta
Carex hostiana,Carex hostiana
Carex laevigata,Carex laevigata
Carex lasiocarpa,Carex lasiocarpa
Carex leporina,Carex leporina
Carex limosa,Carex limosa
Carex nigra,Carex nigra
Carex nigra type (C.acuta or aquatilis or hibernica),Carex nigra
Carex otrubae,Carex otrubae
Carex pallescens,Carex pallescens
Carex panicea,Carex panicea
Carex paniculata,Carex paniculata
Carex pendula,Carex pendula
Carex pilulifera,Carex pilulifera
Carex pseudocyperus,Carex pseudocyperus
Carex pulicaris,Carex pulicaris
Carex remota,Carex remota
Carex riparia,Carex riparia
Carex rostrata,Carex rostrata
Carex strigosa,Carex strigosa
Carex sylvatica,Carex sylvatica
Carex viridula,Carex viridula
Carex viridula subsp. brachyrrhyncha,Carex viridula subsp. brachyrrhyncha
Carex viridula subsp. oedocarpa,Carex viridula subsp. oedocarpa
Carex viridula subsp. viridula,Carex viridula subsp. viridula
Carlina vulgaris,Carlina vulgaris
Carpinus betulus,Carpinus betulus
Carum carvi,Carum carvi
Castanea,Castanea
Castanea sativa,Castanea sativa
Catapodium marinum,Catapodium marinum
Catapodium rigidum,Catapodium rigidum
Celosia argentea,Celosia argentea
Centaurea,Centaurea nigra
Centaurea cyanus,Centaurea cyanus
Centaurea debeauxii,Centaurea nigra
Centaurea debeauxii subsp. nemoralis,Centaurea nigra
